text,intent,response
hello,greeting,Hello! I am your Maize Assistant. How can I help you today?
hi,greeting,Hi! I am your Maize Assistant. Ask me anything about maize or farming.
hey,greeting,Hey there! I am your Maize Assistant ready to help.
good morning,greeting,Good morning! How can I assist you with your maize crops today?
good afternoon,greeting,Good afternoon! I am here to help you with maize health.
good evening,greeting,Good evening! Ask me anything about maize diseases.
morning,greeting,Good morning! I can help you detect maize diseases.
afternoon,greeting,Good afternoon! I am your maize disease assistant.
evening,greeting,Good evening! I am ready to support your maize farming.
yo,greeting,Hello! Maize Assistant here to help you.
how are you,smalltalk,I am doing well as your Maize Assistant. How can I help?
what is your name,identity,"I am Maize Assistant, an AI system for maize disease detection."
who are you,identity,"I am Maize Assistant developed by YUMVAGUSENGA PATRICK, student in RP, registration number 25RP19154."
are you human,identity,"I am an AI Maize Assistant, not a human."
are you real,identity,"Yes, I am a real AI system designed for maize disease detection."
who created you,identity,"I was developed by YUMVAGUSENGA PATRICK, RP student, reg no 25RP19154."
what can you do,capabilities,"I detect maize diseases, track crop health, and give farming advice."
can you think,identity,I process data and images to help detect maize diseases.
what is ai,education,AI is artificial intelligence that enables machines to learn from data.
help,help,I can help you detect maize diseases and monitor crop health.
is this maize sick,maize_question,Upload an image and I will check if your maize is healthy or diseased.
what disease is this,maize_question,"I can detect Blight, Rust, Gray Leaf Spot, MLN, and MSV."
my maize has spots,maize_symptom,Spots may indicate fungal or viral infection.
yellow leaves maize,maize_symptom,Yellowing may indicate disease or nutrient deficiency.
brown leaves maize,maize_symptom,Brown leaves may indicate fungal infection like Blight.
leaf damage maize,maize_symptom,Leaf damage may be caused by pests or disease.
is maize healthy,maize_question,Upload an image and I will analyze maize health.
detect disease,command,Please upload a maize image for analysis.
run detection,command,Starting maize disease detection. Upload image.
what is blight,disease_info,Blight is a fungal disease causing leaf lesions.
what is rust disease,disease_info,Rust causes reddish-orange spots on maize leaves.
what is gray leaf spot,disease_info,Gray Leaf Spot is a fungal disease affecting leaves.
what is MLN,disease_info,Maize Lethal Necrosis is a severe viral disease.
what is MSV,disease_info,Maize Streak Virus causes yellow streak patterns.
is this serious,uncertainty,I will analyze severity from the image.
can maize recover,advice,"Yes, early detection improves recovery chances."
how to treat maize disease,advice,Remove infected leaves and use proper treatment.
best maize care,agriculture,"Use proper fertilizer, watering, and pest control."
which fertilizer for maize,agriculture,Depends on soil type; soil testing is recommended.
what is agriculture,education,Agriculture is farming crops and raising animals.
maize farming tips,agriculture,"Ensure spacing, fertilizer, and pest control."
how to grow maize,agriculture,"Prepare soil, plant seeds, and manage pests."
best soil for maize,agriculture,Well-drained fertile loam soil is best.
maize pests,agriculture,Common pests include fall armyworm and stem borers.
crop health,agriculture,Regular monitoring ensures healthy maize growth.
monitor maize disease,monitoring,I can track maize disease progression over time using images.
track maize health,monitoring,I monitor changes in maize health over multiple scans.
disease progression,monitoring,I can compare images over time to detect disease spread.
weekly maize check,monitoring,Upload weekly images to track maize health changes.
daily maize monitoring,monitoring,Frequent image uploads help track disease development.
how disease spreads,monitoring,Diseases progress gradually and can be tracked visually.
compare maize images,monitoring,I compare images to detect improvement or worsening.
early detection maize,monitoring,Early detection helps stop disease progression.
maize health over time,monitoring,I analyze maize health trends across multiple images.
track infection level,monitoring,I estimate infection severity and track changes.
bye,goodbye,Goodbye! Take care of your maize crops.
see you,goodbye,See you! I am always here to help.
good night,goodbye,Good night! Monitor your crops regularly.
thanks,gratitude,You're welcome! Happy farming.
thank you,gratitude,You are welcome! I am here to help.
